name,logo_url,description,stage,sector,business_model,team_size,email,phone,services
Tariq co,https://sian.monshaat.gov.sa/Uploads/Beneficiary/16854531689306f985-6d4e-4a90-afa8-47b2cf9f3221.jpeg,متجر الحيوانات,Pre-Series A,Life Sciences,B2B,1-9,tariq@arrow.sa,0566606656,"[{'title': 'بيع وشراء الحيوانات', 'description': 'بيع شراء'}, {'title': 'بيع منتجات الحيوانات', 'description': 'منتجات'}]"
شركة الجيل الرقمي لتقنية المعلومات,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685441616شعار جيل الرقمي.png,تعد جيل منصة سحابية متكاملة للمدارس والجهات التعليمية توفر خيار تقسيط الرسوم الدراسية لأولياء الأمور بشكل فوري وبدون فوائد، كما تحمل المنصة شعار المدرسة وهويتها البصرية، وتعمل أيضا على توفير التسجيل والقبول و التحصيل و التي تتم من خلال وسائل دفع إلكترونية متعددة وآمنة,Pre-Seed,IT Solutions,B2B2C,20+,info@jeel.co,0582990262,"[{'title': 'ادرس الآن وادفع لاحقاً', 'description': 'هي خدمة تقسيط الرسوم الدراسية للطلاب وأولياء الأمور'}]"
جودة الحسابات للاسشارات المالية,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685439515لوقو (1).jpg,شركة جودة الحسابات متخصصة في تقديم الخدمات المحاسبية والضريبية والاستشارات المالية والادارية,Post Seed,Data Analytics and Business - FinTech - Consulting,B2B,1-9,info@accountsquality.com,0582408643,"[{'title': 'مسك الدفاتر المحاسبية', 'description': 'تسجيل العمليات المحاسبية بشكل يومي'}, {'title': 'البرامج المحاسبي', 'description': 'تحديد النظام المحاسبي للنشاط وتقديم التهيئة والتدريب للنظام المحاسبي'}, {'title': 'خدمات ضريبة القيمة المضافة', 'description': 'إعداد التقارير الضريبية ومتابعة الأداء والتمثيل للقضايا الضريبية'}, {'title': 'خدمات المدير المالي', 'description': 'بناء النظام واللوائح المالية وتقديم التقارير والتحليلات الدورية'}]"
Petite,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685435361D93CCCEA-83BA-42EF-9292-568529C777D4.png,Pet supply brand- e-commerce,Pre-Seed,E-commerce,B2C,1-9,nawaf@petite.sa,0554445540,"[{'title': 'توصيل', 'description': 'توصيل'}]"
شركة برواز للتجارة,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685429136Brwaz_Logo_FINAL_black-01.jpg,منصة تربط المصممين لسهولة الوصول اليهم و توفير الخدمات اللازمه لتسهيل نموهم,Pre-Seed,E-commerce - Fashion & Beauty - Retail - Social Entrepreneurship,B2B2C,1-9,mazydmk@gmail.com,0564611646,"[{'title': 'متجر الكتروني', 'description': 'منصة برواز لعرض جميع منتجات المصممين'}, {'title': 'خدمات لوجستيه', 'description': 'نوفر جميع الخدمات اللوجستيه للمصمم'}, {'title': 'خدمات التسويق', 'description': 'نسوق للمصممين عبر التسويق الغير مباشر لبرواز'}]"
مؤسسة خدمتكم للتجارة,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685399169werdah_logo-01 (3).png,"تطبيق متخصص بالورود الطبيعية وتوصيل الشعور باسرع وقت ممكن 
مواقعنا بالرياض والخبر وجدة 
عدد عملائنا تجاوز 5 الاف 
عدد محملين التطبيق تجاوز 15 الف تنزيل",Post series A,E-commerce,B2C,1-9,gm-oo@hotmail.com,0556702086,"[{'title': 'تطبيق متخصص بالورود', 'description': 'تنسيق وتوصيل الهدايا'}]"
Ah,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685398361IMG_2069.png,توصيل مشاوير وطلبات,Growth,Delivery & Logistics,Platform,1-9,mood.mood008@gmail.com,0501665013,"[{'title': 'توصيل مشاوير وطلبات', 'description': 'توصيل مشاوير وطلبات'}]"
مؤسسه اصباح العربية لتقنيه المعلومات,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685389901248294.jpeg,بنيان : سوق جمله لمواد ومعدات البناء,Growth,Construction - Hardware,B2B,1-9,fahadz.ksa@hotmail.com,0500713448,"[{'title': 'عرض المقاولين', 'description': 'تتيح للمقاولين عرض خدماتهم'}, {'title': 'بيع مواد البناء', 'description': 'حديد وبلك واسمنت و بطحا  وشركات خرسانه'}, {'title': 'تأجير حاويات ومعدات البناء', 'description': 'تستطيع البحث عن معدات البناء في مكان واحد'}]"
Sent,https://sian.monshaat.gov.sa/Uploads/Beneficiary/16853777834c73e4e2-3a7a-4339-8ca3-308d29b60020.jpeg,شركة Sent للخدمات اللوجستية تقدم خدمة نقل الطرود للمتاجر الالكترونية بكفاءة عالية وأسعار تنافسية,Series A,Delivery & Logistics,B2B2C,1-9,rakan@vividventures.net,0557685000,"[{'title': 'نقل الطرود', 'description': 'توصيل الطرود بخيارات توصيل في نفس اليوم او ان يكون مجدول'}, {'title': 'النقل المبرد', 'description': 'النقل المبرد لحفظ البضائع'}, {'title': 'النقل الثقيل', 'description': 'النقل الثقيل لنقل المعدات، المفروشات، المواد الأولية وغيرها'}]"
سعة لتقنية المعلومات,https://sian.monshaat.gov.sa/Uploads/800x800/1685373713Email Signature Logo (2).png,سعة لتقنية المعلومات - تقدم الحلول التقنية لمنشآت الرعاية الصحية على ايدي كفاءات وطنية ، تأسست عام 2019م . كما نقدم في قطاع تقنية المعلومات خدمات رائدة لتطبيق أفضل الممارسات والتجارب في مجال الحلول التقنيّة لإيجاد الحل الأنسب والذي يُسهم في تطوير الأعمال والخدمات المقدمة للمنشآت في قطاع الرعاية الصحية .,Post Seed,Blockchain - IT Solutions - Productivity apps - Technology - Software - SaaS,Platform,1-9,admin@seit.sa,0542578888,"[{'title': 'EHR SA لإداره المستشفيات والمراكز الطبية متعددة الفروع (طبي+اداري)', 'description': 'نظام EHR SA هو نظام إلكتروني لتدبير السجلات الطبية. يساعد هذا النظام على دمج جميع المعلومات الطبية للمريض في مكان واحد، حيث يوفر تصفح سهل وآمن لسجلات المرضى، بغية تحسين رعاية المرضى. يأتي نظام EHR SA بقوة شاملة تشمل ميزات مثل التخزين الآمن لسجلات المرضى، ومشاركة البيانات مع المنشأت الاخرى ,إدارة التشخيصات، توثيق العلاج والإجراءات الطبية، وإدارة جدول المواعيد والتقارير المالية. كما أنه يوفر حلاً سهلاً وفعّالاً لتحديث تاريخ المرضى، بحيث يتمكن الأطباء من تحديث معلومات مرضاهم بشكل أكثر فعالية. يعتبر EHR SA نظام قوي لتحسين جودة الرعاية هذا النظام مهماً جداً في البيئة الطبية الحالية.'}, {'title': 'HIS SA لإدارة العيادات الطبية', 'description': 'نظام معلومات الصحة يعمل على تسهيل إدارة المعلومات الصحية وتداولها بين المرافق الطبية المختلفة. يشمل النظام تطبيقات وأدوات مختلفة مثل قواعد البيانات الطبية، وتسجيل المرضى، وتاريخ الحالة الصحية، والوصفات الطبية، والمواعيد، والفواتير، والتقارير الطبية الأخرى.'}, {'title': 'Pharmacy SA للصيدليات متعددة الفروع', 'description': 'في برنامج Pharmacy SA لإدارة الصيدليات يمكنك إضافة الأدوية شاملة اسم الدواء وكود الدواء وتاريخ الانتهاء وكافة التفاصيل الهامة، مع السماح بإضافة ملفات المرضى وإدراج شركات التأمين المُسجَّل عليها المريض، في حالة انتسابه للتأمينات، مما يسمح لك بإصدار الفواتير الإلكترونية المُحتسب فيها الخصومات التأمينية لكل فاتورة دون حاجة لإجراء هذه الحسابات يدويًا، بالإضافة إلى تصنيف مخزونك من الأدوية بشكل رائع، لتَسْهُل في النهاية عملية إصدار التقارير المحاسبية لفروع صيدليتك بشكل مجمل أو لكل فرع منفرد.'}]"
شركة رقمنة الجودة لخدمات الاعمال,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685362899Qualityzer-Logo-1.jpg,شركة تقدم خدمات وحلول رقمية في مجال الجودة,Pre-Seed,Consulting,B2B,1-9,mahmoud@qualityzer.com,0534320066,"[{'title': 'التاهيل لشهادات الايزو', 'description': 'تطبيق انظمة الجودة'}]"
Otlaat,https://sian.monshaat.gov.sa/Uploads/Beneficiary/168535893125030-2K39P-1591032925-5ed53c5d87e31.PNG,مشروع ناشئ في السياحة والسفر,Pre-Seed,Travel & Tourism,B2B2C,1-9,khaled@otlaat.com,0590906090,"[{'title': 'حجز فنادق', 'description': 'توفير حجوزات فنادق اونلاين'}]"
ارض الصحراء لتنظيم الرحلات,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685357899Screen Shot 1444-05-19 at 2.13.15 PM.png,تم تأسيس مؤسسة ارض الصحراء لتنظيم الرحلات في عام ٢٠١٨، وقد كان تحفيز المغامرين لتجربة فعاليات وتجارب جديدة من اهم اهداف الشركة، فنحن نمتاز بتقدمينا لعدة رحلات و وجهات مختلفة تتضمن رحلات رملية ورحلات جبلية، لذلك مؤسسة ارض الصحراء من الداعمين لعصر السياحة في السعودية حيث اننا نتم بتوفير رحلات فريدة للمحليين والسائحين. ونقوم بضمان جودة عالية من الخدمات مقدمة في رحلاتنا، وبالإضافة الى تحفيز رياضة الهايك نهتم أيضا في رحلاتنا بتقديم فعاليات تفاعلية والعاب كسر الجليد بين المشتركين، فجميع هذه الخدمات تقدم من قبل فريق احترافي، وعلاوة على ذلك نصنع فرصة للعائلات والأصدقاء والشركات كي يقوموا باختيار رحلتهم الخاصة. يوجد في رحلاتنا الجانب الرياضي والجانب التشويقي لأننا نوفر تجربة شيقة مثل التطعيس على الرمال واسفاري بين الجبال بواسطة سيارات دفع رباعي مجهزة بالكامل. تهدف مؤسسة ارض الصحراء الى تنظيم رحلات تدعم السياحة في مدن المملكة، لذلك نطمح لان نكون الوجهة الأولى الى جميع السائحون القادمين للمملكة.,Growth,Travel & Tourism,B2C,10-19,care@desertland.sa,0559554089,"[{'title': 'رحلات داخل الرياض اسبوعيا', 'description': 'رحلات هايك'}]"
مؤسسة تطبيق سلال,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685340374لوقو 1.png,يعتبر تطبيق سلال من التطبيقات السعودية التي تأسست عام 2023 وتعمل بنظام المنصة الكترونية متكاملة الأقسام وتطبيق وسهلة الاستخدام وتهدف إلى التطور وجذب العديد من مزودي الخدمات المستهدفين وتلبية احتياج العملاء,Seed,E-commerce,B2C,1-9,selalsapp@gmail.com,0560991355,"[{'title': 'نعرض في التطبيق منتجات محلات والمتاجر الخاصة بالهديا والحلويات والتوزيعات والورد', 'description': 'يعترب تطبيق سلال وسيط بين محلات ومتاجر الهديا والحلويات والتوزيعات وباقات الورد وبين العميل بحيث يمكن للعميل الإطلاع عن أقر محل يغطي اجتياجه ويقوم باختيار الخدمة التي تلبي احتياجه \r\nالاستهدام تغطية المحلات والمتاجر في الرياض وبعض ذلك المدن الرئيسه في المملكة العربية السعودية \r\nالميزة التنافسية :\r\nتنوع الإسعار بحيث يمكن للعميل اختيار السعر المناسب بما يتوافق مع امكانياته \r\nتوع الخيارات مما يمكن للعميل اختيار الأقرب من المحلات التي تلبي احتياجه مما يسهل عليه اختصار الوقت\r\nتنوع خيارات الدفع مما يمكن العمل من دفع بالطريقة الأسهل'}]"
مؤسسة بينك ليبرد للاتصالات,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685324671IMG_0361.png,مؤسسة لصيانه وبرمجة الجوالات ب ايدي نسائية,Pre-Series A,Telecom & communications,B2C,1-9,pleopard_sa@hotmail.com,0569976253,"[{'title': 'برمجة جوالات', 'description': 'كل مايخص الجوال من فرمته وتحديث واستعاده بيانات وحسابات'}, {'title': 'صيانة جوالات', 'description': 'تغيير شاشات او بطاريات او مداخل شحن او اي قطعه عطلانه بالحهاز'}, {'title': 'اكسسوارات', 'description': 'كل ما يخص الجوالات من حمايه وكفرات وسماعات'}, {'title': 'جوالات', 'description': 'اجهزه جوالات جميع الانواع'}]"
اسواق ثلاجة السنابل التجارية,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685318789EC6EAA4E-9281-48FD-A13D-56E80C867494.jpeg,ثلاجة مواد غذائية,Pre-Seed,Retail,B2B,10-19,m0592833406@gmail.com,0591813175,"[{'title': 'بيع المواد العذائية', 'description': 'بيع المواد الغذائية'}]"
MashoorTech,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685308778twitter_sawa88Q5_400x400.jpg,تقوم شركة مشورتك بربط الخبراء في تقنية المعلومات بالعملاء الذين يبحثون عن مهاراتهم في السوق السوق السعودي، وتركز الشركة على القطاع الخاص بشكل كبير لانهم يشكلون النسبه الاكبر من عملاء الشركة.,Seed,Technology - Telecom & communications - SaaS,B2B,1-9,sultan@mashoortech.sa,0539688842,"[{'title': 'ّAll IT Services', 'description': 'We provide all kind of IT skills in Saudi market'}]"
ram system LTD,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685301655RAM Systems Company Ltd.png,تقديم و تصميم البرامج و الحلول بالواقع الافتراضي و الواقع المعزز,Pre-Seed,AR/VR,B2B,1-9,raaid@ramsys.sa,0501512222,"[{'title': 'الواقع الافتراضي', 'description': 'تصميم و تطويرتقديم حلول و برامج بتقنية الواقع الافتراضي'}, {'title': 'الواقع معزز', 'description': 'تصميم و تطويرتقديم حلول و برامج بتقنية الواقع معزز'}, {'title': 'ميتافيرس', 'description': 'تصميم و تطوير حلول و برامج بتقنية الميتافيرس'}]"
Fun of fame,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685296494horizontal logo.png,"هدف شركتنا هو توفير تجربة كرة قدم فريدة وغامرة للاعبين كرة القدم الهواة مع تعزيز التنمية المستدامه ذات الصلة بمجال كرة القدم لأصحاب الملاعب وأكاديميات كرة القدم.  

تلتزم منصة فن اوفيم بالمساهمة في رؤية المملكة العربيه السعودية فيما يتعلق بكرة القدم، والتي تشمل تطوير مواهب كرة القدم على المستوى العالمي، وتعزيز فرق الدوري المحلي والمنتخب الوطني.",Pre-Seed,Sports & Fitness - Technology,B2B2C,1-9,info@funofame.com,0502436259,"[{'title': 'تصوير وبث مبارايات', 'description': 'تصوير وبث مباريات الاعبين الهواة'}, {'title': 'اكتشاف', 'description': 'اكتشاف المواهب كرة القدم للاعبين الهواه'}]"
شركة الأريب الرائدة للاستشارات التعليمية والتربوية,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685280300شعار شركة الأريب الرائدة.jpeg,شركة تسعى إلى الريادة في تقديم الاستشارات التعليمية والتربوية، من خلال أنشطة متعددة، مثل: البحث والتطوير في العلوم الاجتماعية، والبحث والتطوير في العلوم الإنسانية، والبحث والتطوير المتعدد القطاعات، والتعليم.,Pre-Series A,Consulting,B2B2C,1-9,info@al-areeb.com,0506365513,"[{'title': 'الأنشطة المهنية والعلمية والتقنية', 'description': 'البحث والتطوير في العلوم الاجتماعية، والإنسانية.'}, {'title': 'التعليم', 'description': 'أنشطة الاستشارات التعليمية والتربوية'}]"
شركة ألوي المحدودة,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685236650Logo Black.png,شركة متخصصة في مجال المباني الذكية,Seed,IoT - Renewable Energy,B2B2C,1-9,hi@aloy.sa,0559691007,"[{'title': 'أنظمة المباني الذكية', 'description': 'حلول متكاملة للمباني الذكية'}]"
مؤسسة ديار الحداثة للمقاولات العامة,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685224675Screenshot_20230528_005341.jpg,مؤسسة مقاولات عامة,Pre-Series A,Construction - General - Retail - Architecture & Design - Maintenance Services,B2B,1-9,ksa77505@gmail.com,0557415686,"[{'title': 'مقاولات عامة', 'description': 'مقاولات عامة واعمال صيانة وتوريد'}]"
مؤسسة الدعم المؤسسي,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685224378DE390503-8672-459B-8BD5-9AD0C252C06C.jpeg,تقديم خدمات الادارة المالية عن بعد,Seed,FinTech,Platform,1-9,mr_raed@outlook.sa,0565565540,"[{'title': 'ادارة مالية', 'description': 'تقديم خدمات الادارة المالية للمنشات الصغيرة والمتوسطة'}]"
شركة أزهرت للتجارة,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685201146اللوقو JPG‬‬.jpg,شركة تقدم خدمات وأنشطة تنسيق الزهور بكافة انواعها وبيعها وتغليف الهدايا وتنسيق الحفلات وكل مايتعلق بهذا المجال,Seed,General,B2C,1-9,azhrtfirm@gmail.com,0568566901,"[{'title': 'بيع الزهور', 'description': 'بيع الزهور'}, {'title': 'تغليف الهدايا', 'description': 'تغليف الهدايا'}, {'title': 'تنسيق الحفلات', 'description': 'تنسيق الحفلات'}]"
شركة بوابة العالم لخدمات السفر و السياحة,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685199553IMG_8952.png,"رؤيتنا: تمكين عملاؤنا من استكشاف العالم والثقافات المختلفه والاستمتاع بأجمل اللحظات..


رسالتنا: تقديم أفضل خدمات السفر والسياحة بجوده عاليه وأسعار مميزه..",Seed,Travel & Tourism,B2C,1-9,ibrahim.b@worldgatesa.com,0592441411,"[{'title': 'خدمات السفر و السياحة', 'description': 'تقديم خدمات حجوزات الفنادق و الطيران و المواصلات  و الكروزات البحرية و تجهيز البكيجات السفر المتكاملة\r\n\r\nوخدمات الحصول على التاشيرات'}]"
COGNNA,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685180513COGNNA-LOGO-FULL-COLOR-DIGITAL-RGB.png,شركة مختصة بالأمن السيبراني,Seed,Artificial Intelligence - Cyber Security,B2B,1-9,ibrahim@cognna.com,0565654200,"[{'title': 'اكتشاف الهجمات', 'description': 'منصة كوقنا تقوم باكتشاف الهجمات و التصدي لها'}]"
لانكول,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685180510PNGイメージ.png,"منصة الكترونية شبيه بطلب السيارة تاكسي (اوبر/كريم) 
ولكن بدلاً من طلب سيارة اجرة تستطيع العثور على اقرب شخص محلي يتكلم اللغة التي تطلبها.
على سبيل المثال زائر من فرنسا اتى السعودية (الرياض) وبعد الانتهاء من اجتماعات العمل ذهب الى المطار لينتظر رحلته التي سوف تكون اقلاعها بعد ٤ ساعات ولديه الشغف بالتعرف على انحاء المدينة ولكن لايعرف اين يذهب!! في هذا الحال يستطيع طلب لانكول بفتح التطبيق اختيار علم دولته (فرنسا) وسوف يظهر له جميع الاشخاص المتوفرين في المنصة الذين يستطيعون التحدث باللغه الفرنسية واللقاء بهم وجهاً لوحه واخذ جولات في المدينة بدلاً من مضيعة الوقت داخل المطار لساعات طويلة. وكل هذا بأسعار منافسة.",Pre-Seed,Travel & Tourism,B2B2C,1-9,sulaimanoth@hotmail.com,0559965929,"[{'title': 'Local guide on demand with your language in anywhere anytime', 'description': 'طلب مرشد سياحي محلي او شخص محلي متحدث باللغة المطلوبة'}]"
مؤسسة المسارات المختصة للتجارة,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685178028Icon-01.jpg,مؤسسة للتجارة و الاستثمار,Pre-Seed,Advertising and Marketing - Artificial Intelligence - Creative - Delivery & Logistics - E-commerce - Fashion & Beauty - Retail,B2B2C,1-9,speccov@gmail.com,0555433038,"[{'title': 'بيع بالتجزئة', 'description': 'ماتشا'}]"
Zerien,https://sian.monshaat.gov.sa/Uploads/Beneficiary/16851618856D2CB615-49FA-4897-A032-47E95DF69229.jpeg,متجر ملابس بافكار جديده,Seed,E-commerce,B2C,1-9,zerien.brand@gmail.com,0509787173,"[{'title': 'بيع ملابس', 'description': 'بيع ملابس'}]"
جودة الرمز,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685144422IMG_0002.jpeg,شركة مختصه بالتحول التقني ، نوفر حلول تقنية مثل ادارة الفنادق بالربط مع وزارة السياحة ووزارة الداخلية ( شموس ),Seed,Productivity apps,B2B,10-19,mohammad@qualitycode.sa,0567600004,"[{'title': 'زائر', 'description': 'نظام خاص ببادرة الفنادق'}]"
تفاصيل الفعاليات,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685105317BA8AF745-76B1-423A-B360-0DDA4B22C452.jpeg,تنظيم و تجهيز الفعاليات,Post Seed,Events,B2B2C,1-9,info@details.sa,0563922211,"[{'title': 'تنظيم الفعاليات', 'description': 'كتابة و تجهيز الافكار و عمليات جميع ما يخص الفعاليه قبل و اثناء و بعد التنفيذ'}, {'title': 'تجهيز الفعاليات', 'description': 'تصميم و تنصيع الاجنحه و البوابات و المسارح'}, {'title': 'ادارة الفعاليات', 'description': 'ادارة الفعاليه و الحشود'}, {'title': 'توثيق الفعاليات', 'description': 'التصوير و التوثيق'}, {'title': 'الدعم اللوجستي للفعاليات', 'description': 'جميع الخدمات اللوجستيه'}]"
Stage 3 Garage,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685096853sultsan logo-03.png,"في كراج ستيج 3 نقوم بتطوير الإلكترونيات للسيارات وكذلك ربطها بالخادمات الخاصة بنا لتحليل بيانات السيارات والسائقين وكذلك التحكم بخصائص السيارات وتعديلها من خلال تطبيق المستخدم.
المميزات:
- تحليل بيانات واعطال السيارات وتشخيصها عن بعد
- تتبع المركبة ومعلوماتها
- التحكم بخصائص المركبة
- التحليل الاستباقي قبل حصول الخلل في المركبات",Pre-Seed,Data Analytics and Business - IoT - Transport - Software - SaaS - Maintenance Services,B2B2C,1-9,s.asiry@stage3.sa,0569980080,"[{'title': 'صيانة السيارات', 'description': 'فحص السيارات وتحليل مشاكل كمبيوترات السيارات وكل ما يتعلق بالالكترونيات'}]"
البيرق,https://sian.monshaat.gov.sa/Uploads/Beneficiary/16850946149A885488-F5AC-468A-9625-992A307819D4.png,ناي رياضي متعدد الرياضات,Pre-Seed,Media & Entertainment,B2B,1-9,albayraq.club@gmail.com,0532888516,"[{'title': 'رياضه', 'description': 'تدريب رياضي'}]"
شركة كليمات للإنتاج الإعلامي,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685059048IMG_8261.jpeg,شركة متخصصة بالكتابة الإبداعية للإنتاج الإعلامي,Post Seed,Advertising and Marketing - Creative - Consulting,B2C,10-19,Omar.Badran@Kulymat.com,0598215787,"[{'title': 'الكتابة الإبداعية', 'description': 'كتابة سيناريوهات الإعلانات'}, {'title': 'كتابة الأفلام الوثائقية', 'description': 'كتابة سيناريوهات الأفلام الوثائقية'}]"
منصة الكرسي,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685054704IMG_6391.png,منصة لإدارة حجوزات المساحات البيضاء في مساحات العمل المشتركة و المكاتب الخاصة و الفنادق و المقاهي، بالإضافة إلى عرض هذه المساحات بشكل عصري مناسب مع تغير مفهوم العمل و انتشار العمل عن بعد,Pre-Seed,Advertising and Marketing - E-commerce - Events - IT Solutions - Social Entrepreneurship - Quality of life - CRM - Consulting,B2B2C,1-9,mugdad.bohulaiqa@gmail.com,0567005553,"[{'title': 'تأجير غرفة اجتماع', 'description': 'بالساعة و اليوم'}, {'title': 'تسجيل دخول فوري', 'description': 'إلى المساحة المشتركة في أي مكان متوفر في التطبيق'}, {'title': 'تجهيز لفعاليات خاصة', 'description': 'تجهيز لفعاليات خاصة'}]"
مقهى كلاودز,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685046000شعار كلاود _page-0001.jpg,محلات تقديم المشروبات الكوفي شوب,Pre-Seed,Food & Beverage,B2B,1-9,mzfirm1@gmail.com,0555173399,"[{'title': 'بيع معدات القهوة', 'description': 'بيع معدات القهوة'}, {'title': 'بيع القهوة والمشروبات', 'description': 'بيع انواع متعددة من القهوة والمشروبات'}]"
داك للتصميم,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685042069IMG_7170.jpeg,شركة داك هي شركة حلول تقنية ، تقدم حلول تناسب سوق العمل,Seed,IT Solutions - Technology,B2B,1-9,Abdullah.qahtani67@gmail.com,05494300266,"[{'title': 'برنامج بوينتات', 'description': 'هو برنامج نقاط بيع يخدم الفوتره الالكترونية'}, {'title': 'البنية التحتية', 'description': 'تاسيس و تمديد الشبكات من البداية الى تشغيلها'}]"
Delivery,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685031069F5C30ED3-7D81-449F-A082-5128C7B3C4A6.png,خدمه توصيل لوجستيه,Pre-Seed,Delivery & Logistics,B2B,20+,nahash50@gmail.com,0549970033,"[{'title': 'توصيل', 'description': 'توصيل خدمات'}]"
شركة منظمة الريادة العربية لحاضنات ومسرعات الأعمال,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685015622IMG-20230415-WA0027.jpg,خدمات لوجستية واستشارات,Pre-Seed,Delivery & Logistics,B2B,10-19,asowilem@hotmail.com,0536090060,"[{'title': 'لوجستية', 'description': 'مسرعات'}, {'title': 'حاضنه', 'description': 'استشارات'}]"
مؤسسة دان وسائط للتسويق الالكتروني,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685014343IMG_3179.jpeg,تظويق الالكتروني بكافة انواعه,Pre-Seed,Advertising and Marketing,B2B2C,1-9,a.alqmaishi@gmail.com,0590816621,"[{'title': 'التسويق على وسائل التواصل الاجتماعي', 'description': 'نقوم بانشاء حملة دعائية ممولة على آحد برامج التواصل الاجتماعي'}, {'title': 'التسويق بالمؤثرين', 'description': 'نقوم باعداد دراسة شاملة وخطة تسويقية عن المنتجات من ثم البحث عن الموثر المناسب صاحب الجمهور المستهدف'}, {'title': 'انشاء متجر الكتروني', 'description': 'نقوم ببناء المتجر واضافة المنتاجات وتصميم المتجر والمتابعة حتى اطلاق المتجر'}]"
ميدان,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685013561Medan.sa.png,"نحتفل بالحياة
شركة سعودية متخصصة في الحلول المتكاملة لإدارة الوجهات والتجارب.
تملك ميدان عدة علامات متخصصة في خدمات الرياضة والترفية والثقافة والسياحة و المعارض وتفخر  ميدان بتقديم خدماتها لاهم المشاريع والفعاليات والمهرجانات الكبرى في المملكة للقطاعين الحكومي والخاص.
تتلخص مبادئ الشركة في التخطيط بعناية, والتنفيذ بشغف و ترتكز قاعدتها العملية على تحقيق نتائج ايجابية للتشغيل ورضى العميل.",Post Seed,Advertising and Marketing - Media & Entertainment - Creative - E-commerce - EdTech - Events - Fashion & Beauty - Gaming - IT Solutions - Productivity apps - Enterprise Software - Technology - Social Entrepreneurship - Quality of life - HR Management,B2B2C,1-9,info@medan.sa,0544557788,"[{'title': 'تنظيم الفعاليات', 'description': 'تنظيم الفعاليات'}, {'title': 'منصة بيع التذاكر', 'description': 'منصة بيع التذاكر'}, {'title': 'ادارة الحشود', 'description': 'ادارة الحشود'}, {'title': 'رياضة السيارات', 'description': 'رياضة السيارات'}, {'title': 'الرياضات البحرية', 'description': 'الرياضات البحرية'}, {'title': 'ادارة مرافق الترفية والرياضة', 'description': 'ادارة مرافق الترفية والرياضة'}, {'title': 'حلول تقنية لقطاع الرياضة والترفية والسياحة والثقافة', 'description': 'حلول تقنية لقطاع الرياضة والترفية والسياحة والثقافة'}]"
شركة زهرة الحياة للاتصالات وتقنية المعلومات,https://sian.monshaat.gov.sa/Uploads/Beneficiary/1685006832Tulpan_AR.png,"شركة تقنية مختصة بخدمات التجارة الالكترونية والتسويق والتصميم, ودخلت مجال التجارة الالكترونية مؤخراً بمنتج (تطبيق تولبان) وتعمل على مشروع منصة خدمية أخرى قريباًز",Seed,Advertising and Marketing - Agriculture - Delivery & Logistics - E-commerce - Retail - Technology - SaaS,B2C,1-9,admin@z-alhayat.com,0501050588,"[{'title': 'برمجة المواقع', 'description': 'برمجة المواقع'}, {'title': 'تطوير التطبيقات', 'description': 'تطوير التطبيقات'}, {'title': 'التجارة الالكترونية', 'description': 'التجارة الالكترونية'}, {'title': 'التصميم والجرافكس', 'description': 'التصميم والجرافكس'}, {'title': 'الدعاية والتسويق', 'description': 'الدعاية والتسويق'}]"
